timestamp,ml_rr,ta_funding,asym_barrier,ml_barrier
2023-12-27 01:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-27 02:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-27 03:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-27 04:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-27 05:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-27 06:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-27 07:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-27 08:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-27 09:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-27 10:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-27 11:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-27 12:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-27 13:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-27 14:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-27 15:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-27 16:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-27 17:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-27 18:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-27 19:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-27 20:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-27 21:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-27 22:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-27 23:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-28 00:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-28 01:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-28 02:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-28 03:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-28 04:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-28 05:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-28 06:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-28 07:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-28 08:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-28 09:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-28 10:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-28 11:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-28 12:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-28 13:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-28 14:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-28 15:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-28 16:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-28 17:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-28 18:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-28 19:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-28 20:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-28 21:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-28 22:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-28 23:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-29 00:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-29 01:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-29 02:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-29 03:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-29 04:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-29 05:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-29 06:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-29 07:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-29 08:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-29 09:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-29 10:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-29 11:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-29 12:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-29 13:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-29 14:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-29 15:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-29 16:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-29 17:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-29 18:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-29 19:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-29 20:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-29 21:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-29 22:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-29 23:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-30 00:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-30 01:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-30 02:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-30 03:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-30 04:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-30 05:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-30 06:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-30 07:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-30 08:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-30 09:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-30 10:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-30 11:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-30 12:00:00+00:00,0.0,0.0,0.0,0.0
2023-12-30 13:00:00+00:00,0.0,0.0,0.0,0.0
